"region","age","2016"
"01 Stockholm county","18-29 years",454.0
"01 Stockholm county","30-49 years",776.3
"01 Stockholm county","50-64 years",804.7
"03 Uppsala county","18-29 years",355.0
"03 Uppsala county","30-49 years",639.2
"03 Uppsala county","50-64 years",683.9
"04 Södermanland county","18-29 years",375.0
"04 Södermanland county","30-49 years",576.5
"04 Södermanland county","50-64 years",597.8
"05 Östergötland county","18-29 years",342.5
"05 Östergötland county","30-49 years",592.1
"05 Östergötland county","50-64 years",627.9
"06 Jönköping county","18-29 years",389.7
"06 Jönköping county","30-49 years",610.9
"06 Jönköping county","50-64 years",655.7
"07 Kronoberg county","18-29 years",362.4
"07 Kronoberg county","30-49 years",592.7
"07 Kronoberg county","50-64 years",625.5
"08 Kalmar county","18-29 years",368.8
"08 Kalmar county","30-49 years",571.0
"08 Kalmar county","50-64 years",590.4
"09 Gotland county","18-29 years",357.3
"09 Gotland county","30-49 years",575.4
"09 Gotland county","50-64 years",577.5
"10 Blekinge county","18-29 years",345.4
"10 Blekinge county","30-49 years",564.8
"10 Blekinge county","50-64 years",581.0
"12 Skåne county","18-29 years",367.8
"12 Skåne county","30-49 years",606.3
"12 Skåne county","50-64 years",644.3
"13 Halland county","18-29 years",414.6
"13 Halland county","30-49 years",678.9
"13 Halland county","50-64 years",731.7
"14 Västra Götaland county","18-29 years",390.3
"14 Västra Götaland county","30-49 years",618.9
"14 Västra Götaland county","50-64 years",665.7
"17 Värmland county","18-29 years",349.3
"17 Värmland county","30-49 years",558.9
"17 Värmland county","50-64 years",571.8
"18 Örebro county","18-29 years",344.1
"18 Örebro county","30-49 years",563.9
"18 Örebro county","50-64 years",584.2
"19 Västmanland county","18-29 years",375.8
"19 Västmanland county","30-49 years",590.7
"19 Västmanland county","50-64 years",607.5
"20 Dalarna county","18-29 years",366.0
"20 Dalarna county","30-49 years",555.8
"20 Dalarna county","50-64 years",571.2
"21 Gävleborg county","18-29 years",352.5
"21 Gävleborg county","30-49 years",545.3
"21 Gävleborg county","50-64 years",567.2
"22 Västernorrland county","18-29 years",358.5
"22 Västernorrland county","30-49 years",563.3
"22 Västernorrland county","50-64 years",577.0
"23 Jämtland county","18-29 years",350.5
"23 Jämtland county","30-49 years",559.4
"23 Jämtland county","50-64 years",565.2
"24 Västerbotten county","18-29 years",332.3
"24 Västerbotten county","30-49 years",564.9
"24 Västerbotten county","50-64 years",603.8
"25 Norrbotten county","18-29 years",374.3
"25 Norrbotten county","30-49 years",575.5
"25 Norrbotten county","50-64 years",585.8
